,negative
ABANDON,0.0
ABANDONED,0.0
ABANDONING,0.0
ABANDONMENT,0.0
ABANDONMENTS,0.0
ABANDONS,0.0
ABDICATED,0.0
ABDICATES,0.0
ABDICATING,0.0
ABDICATION,0.0
ABDICATIONS,0.0
ABERRANT,0.0
ABERRATION,0.0
ABERRATIONAL,0.0
ABERRATIONS,0.0
ABETTING,0.0
ABNORMAL,0.0
ABNORMALITIES,0.0
ABNORMALITY,0.0
ABNORMALLY,0.0
ABOLISH,0.0
ABOLISHED,0.0
ABOLISHES,0.0
ABOLISHING,0.0
ABROGATE,0.0
ABROGATED,0.0
ABROGATES,0.0
ABROGATING,0.0
ABROGATION,0.0
ABROGATIONS,0.0
ABRUPT,0.0
ABRUPTLY,0.0
ABRUPTNESS,0.0
ABSENCE,0.0
ABSENCES,0.0
ABSENTEEISM,0.0
ABUSE,0.0
ABUSED,0.0
ABUSES,0.0
ABUSING,0.0
ABUSIVE,0.0
ABUSIVELY,0.0
ABUSIVENESS,0.0
ACCIDENT,0.0
ACCIDENTAL,0.0
ACCIDENTALLY,0.0
ACCIDENTS,0.0
ACCUSATION,0.0
ACCUSATIONS,0.0
ACCUSE,0.0
ACCUSED,0.0
ACCUSES,0.0
ACCUSING,0.0
ACQUIESCE,0.0
ACQUIESCED,0.0
ACQUIESCES,0.0
ACQUIESCING,0.0
ACQUIT,0.0
ACQUITS,0.0
ACQUITTAL,0.0
ACQUITTALS,0.0
ACQUITTED,0.0
ACQUITTING,0.0
ADULTERATE,0.0
ADULTERATED,0.0
ADULTERATING,0.0
ADULTERATION,0.0
ADULTERATIONS,0.0
ADVERSARIAL,0.0
ADVERSARIES,0.0
ADVERSARY,0.0
ADVERSE,0.0
ADVERSELY,0.0
ADVERSITIES,0.0
ADVERSITY,0.0
AFTERMATH,0.0
AFTERMATHS,0.0
AGAINST,0.0
AGGRAVATE,0.0
AGGRAVATED,0.0
AGGRAVATES,0.0
AGGRAVATING,0.0
AGGRAVATION,0.0
AGGRAVATIONS,0.0
ALERTED,0.0
ALERTING,0.0
ALIENATE,0.0
ALIENATED,0.0
ALIENATES,0.0
ALIENATING,0.0
ALIENATION,0.0
ALIENATIONS,0.0
ALLEGATION,0.0
ALLEGATIONS,0.0
ALLEGE,0.0
ALLEGED,0.0
ALLEGEDLY,0.0
ALLEGES,0.0
ALLEGING,0.0
ANNOY,0.0
ANNOYANCE,0.0
ANNOYANCES,0.0
ANNOYED,0.0
ANNOYING,0.0
ANNOYS,0.0
