,positive
ABLE,0.0
ABUNDANCE,0.0
ABUNDANT,0.0
ACCLAIMED,0.0
ACCOMPLISH,0.0
ACCOMPLISHED,0.0
ACCOMPLISHES,0.0
ACCOMPLISHING,0.0
ACCOMPLISHMENT,0.0
ACCOMPLISHMENTS,0.0
ACHIEVE,0.0
ACHIEVED,0.0
ACHIEVEMENT,0.0
ACHIEVEMENTS,0.0
ACHIEVES,0.0
ACHIEVING,0.0
ADEQUATELY,0.0
ADVANCEMENT,0.0
ADVANCEMENTS,0.0
ADVANCES,0.0
ADVANCING,0.0
ADVANTAGE,0.0
ADVANTAGED,0.0
ADVANTAGEOUS,0.0
ADVANTAGEOUSLY,0.0
ADVANTAGES,0.0
ALLIANCE,0.0
ALLIANCES,0.0
ASSURE,0.0
ASSURED,0.0
ASSURES,0.0
ASSURING,0.0
ATTAIN,0.0
ATTAINED,0.0
ATTAINING,0.0
ATTAINMENT,0.0
ATTAINMENTS,0.0
ATTAINS,0.0
ATTRACTIVE,0.0
ATTRACTIVENESS,0.0
BEAUTIFUL,0.0
BEAUTIFULLY,0.0
BENEFICIAL,0.0
BENEFICIALLY,0.0
BENEFIT,0.0
BENEFITED,0.0
BENEFITING,0.0
BENEFITTED,0.0
BENEFITTING,0.0
BEST,0.0
BETTER,0.0
BOLSTERED,0.0
BOLSTERING,0.0
BOLSTERS,0.0
BOOM,0.0
BOOMING,0.0
BOOST,0.0
BOOSTED,0.0
BREAKTHROUGH,0.0
BREAKTHROUGHS,0.0
BRILLIANT,0.0
CHARITABLE,0.0
COLLABORATE,0.0
COLLABORATED,0.0
COLLABORATES,0.0
COLLABORATING,0.0
COLLABORATION,0.0
COLLABORATIONS,0.0
COLLABORATIVE,0.0
COLLABORATOR,0.0
COLLABORATORS,0.0
COMPLIMENT,0.0
COMPLIMENTARY,0.0
COMPLIMENTED,0.0
COMPLIMENTING,0.0
COMPLIMENTS,0.0
CONCLUSIVE,0.0
CONCLUSIVELY,0.0
CONDUCIVE,0.0
CONFIDENT,0.0
CONSTRUCTIVE,0.0
CONSTRUCTIVELY,0.0
COURTEOUS,0.0
CREATIVE,0.0
CREATIVELY,0.0
CREATIVENESS,0.0
CREATIVITY,0.0
DELIGHT,0.0
DELIGHTED,0.0
DELIGHTFUL,0.0
DELIGHTFULLY,0.0
DELIGHTING,0.0
DELIGHTS,0.0
DEPENDABILITY,0.0
DEPENDABLE,0.0
DESIRABLE,0.0
DESIRED,0.0
DESPITE,0.0
DESTINED,0.0
DILIGENT,0.0
DILIGENTLY,0.0
DISTINCTION,0.0
DISTINCTIONS,0.0
DISTINCTIVE,0.0
DISTINCTIVELY,0.0
DISTINCTIVENESS,0.0
DREAM,0.0
EASIER,0.0
EASILY,0.0
EASY,0.0
EFFECTIVE,0.0
EFFICIENCIES,0.0
EFFICIENCY,0.0
EFFICIENT,0.0
EFFICIENTLY,0.0
EMPOWER,0.0
EMPOWERED,0.0
EMPOWERING,0.0
